,,,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,,,,,,Integer,Integer,Integer,Integer,Integer,Date,Date,Date,Date,Date,Date ,Date ,Date ,Date ,Date ,Date ,Date ,Date ,Date ,Date ,Date ,Date ,Date ,Date ,Date ,Date ,Date ,Date ,Percentage Number,Percentage Number,Percentage Number,Percentage Number,Percentage Number,Date ,Date ,Date ,Date ,Percentage Number,Percentage Number,Percentage Number,Percentage Number,Percentage Number,Percentage Number,Link,Link,Link,Link,Link,Link,Link
,,,,,,,,,,,,,,Finance,,,,,,,,,,,,Drug,,,,,,,,,,,,,,,,,,,Study Contacts,,,,,,,,,,,,,,,,,,,Countries,,,Sites Activation,,Subj Enrollment,,,,,,,,Timelines,,,,,,,,,,,,,,,,,,,Completion Tracking,,,,,,,,,,,,,,,,,,,Document Links,,,,,,
Sponsor Name,Study Sponsor,Study Number,Sponsor Number,Study Title,Study Description,Study Short Name,Indication,Disease Area,Therapeutic Area,Oncology Tumor Type,Oncology Group,Business rationale,Scientific Rationale,Study Finance Code,Funded Bys,Registry Status,Study Phase,Study Type,Blinding Status,Study Designs,Subject Type,Compassionate,Methodology,Pharmacogenetic,Comparative,Sponsor Drug,Compound Name,Compound Number,Compound Type,compund Subtype,Compound MOA,Product,Generic Name,Trade Name,EU approved,Covered fin Disclosure,Extension Study,Protocol Closed,Study Is Critical,Project Code,Project Name,Study Proj Desc,Business Category Unit,Business Subunit,Project manager,Project Planner,Clinical Program Manager,Lead Study Manager,Clinician,Translational Oncology Lead,Biomarker Assay Lead,Regulatory Lead,Site Monitoring Lead,Finance Manager,Study Budget Lead,Global Study Manager,Outsourcing Lead,Data Manager,Clinical Data Scientist,Asset Lead,Global Clinical Lead,Global Medicine Lead,Statistician,Planned Country Codes,Planned Countries, ,Planned Sites,Actual Sites Activated ,Gender,Age,Planned Subjects,Subjects Screened,Subjects enrolled,Subjects Active,Subjects Discontinued,Subjects Completed, FAP, CRF Approved, SAP Finish, DBR Ready, First Drug Ship, First Site Active, First Sub Randomized, FSFV, FSFD, FSLV, LSFD, LSLD, Primary Completion, DBR, Final Tables, FINAL CSR Min, FINAL CSR Max,Final CSR  , TLR,Date 25% Sites Active,Date 50% Sites Active,Date 75% Sites Active,Date 100% Sites Active,% Cmpl FAP,% Cmpl SAP,% Cmpl Work Order,% Cmpl DBR Ready,% Cmpl First Drug Ship,Date 25% Sub enrolled,Date 50% Sub enrolled,Date 75% Sub enrolled,Date 100% Sub enrolled,% Cmpl Primarary Completion,% Cmpl DBR Release,% Cmpl Final Tables,% Cmpl Final CSR Min,% Cmpl Final CSR Max,% Cmpl TLR,Study ID,FAP,CRF,ICF,Study Protocol,Study Statistical Plan,Study Documents -Outside Links
AbbVie,AbbVie,ST00020,SP00001,Study of Oral Glecaprevir/Pibrentasvir Tablets in Participants Aged 12 Years or Older With Chronic Hepatitis C to Assess Sustained Virological Response,,CHOICE,Hepatitis C Virus (HCV),,Virology,,,,,,Industry,Recruiting,,Observational,,Observational Model: Cohort|Time Perspective: Prospective,,,,,,Drug A,,,,,,,,,,,,,,,,,,,Geralyn K,Gertrudis T,Tiffiny K,James y,Louann C,John G,Selizabeth F,Tiffiny K,Kandace p,Jeanene Y,Jeanene Y,Suk T,Dalton E,Kandace p,Jeanene Y,Garnet T,Harry A,Stephan T,John G,,,"Irkutsk Regional Center for the Prevention and Control of AIDS and Infections /ID# 229509, Irkutsk, Russian Federation|Specialized Clinical Infectious Diseases Hospital /ID# 229814, Krasnodar, Russian Federation|Infectious Clinical Hosp #1 /ID# 225063, Moscow, Russian Federation|S. P. Botkin City Hospital /ID# 229510, Oryol, Russian Federation|Samara Region Clinical HIV/AIDS Prevention and Control Center /ID# 226591, Samara, Russian Federation",81.95252951,73.75727656,All,"18 Years and older   (Adult, Older Adult)",70,69,67,65,6,4,10/24/2027,5/11/2028,3/21/2028,4/25/2028,3/16/2028,4/9/2028,4/19/2028,3/19/2019,4/15/2019,2/16/2021,5/5/2021,8/12/2021,12/14/2021,1/16/2022,2/17/2022,3/26/2022,5/21/2022,6/24/2022,8/9/2022,10/6/2028,4/4/2029,10/1/2029,3/30/2030,,,,,,,,,,,,,,,,https://ClinicalTrials.gov/show/NCT04577482,,,,,,
AbbVie,AbbVie,ST00022,SP00001,A Study to Evaluate the Efficacy and Safety of ABT-493/ABT-530 in Combination With Sofosbuvir and Ribavirin in Participants With Hepatitis C Virus Who Did Not Respond to Treatment in a Previous AbbVie Clinical Study,,MAGELLAN-3,Hepatitis C Virus Infection,,Virology,,,,,,Industry,Completed,Phase 3,Interventional,,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,,,,,,Drug C,,,,,,,,,,,,,,,,,,,Donovan H,Gertrudis T,Selizabeth F,John G,Kandace p,Lyman W,Otis Thode �,Selizabeth F,Selizabeth F,Suzie K,Xochitl D,Selizabeth F,Lavina S,Otis Thode �,Kandace p,James y,Jaquelyn H,Selizabeth F,John G,,,"Digestive Health Specialists of the Southeast /ID# 155719, Dothan, Alabama, United States|Ruane Clinical Research Group /ID# 155714, Los Angeles, California, United States|Digestive Disease Associates - Baltimore /ID# 155713, Baltimore, Maryland, United States|Henry Ford Health System /ID# 155720, Detroit, Michigan, United States|University of Buffalo /ID# 155721, Buffalo, New York, United States|Carolinas Center For Liver Dis /ID# 155731, Statesville, North Carolina, United States|Gastro One /ID# 155729, Germantown, Tennessee, United States|TX Liver Inst, Americ Res Corp /ID# 157881, San Antonio, Texas, United States|Royal Brisbane and Women's Hospital /ID# 200944, Herston, Queensland, Australia|The Royal Melbourne Hospital /ID# 155727, Parkville, Victoria, Australia|University of Calgary - Cumming School of Medicine - Adult Cystic Fibrosis Clini /ID# 155726, Calgary, Alberta, Canada|Beijing Di Tan Hospital, Capital Medical University /ID# 218496, Beijing, China|West China Hospital, Sichuan University /ID# 217613, Chengdu, China|The First Hospital Affiliated to AMU (Southwest Hospital) /ID# 218494, Chongqing, China|Mengchao Hepatobiliary Hospital of Fujian Medical University /ID# 218495, Fuzhou, China|Medizinisches Versorgungszentrum Mauss, Schmutz, Hegener, Athmann, Nguyen /ID# 155592, Düsseldorf, Nordrhein-Westfalen, Germany|Asklepios Klinik St. Georg /ID# 155733, Hamburg, Germany|Samsung Medical Center /ID# 214844, Seoul, Korea, Republic of|Auckland City Hospital /ID# 200945, Grafton, Auckland, New Zealand|Dunedin Hospital /ID# 155591, Dunedin, Otago, New Zealand|Waikato Hospital /ID# 155728, Hamilton, Waikato, New Zealand|Medical Company Hepatolog /ID# 214314, Samara, Samarskaya Oblast, Russian Federation|Hospital Universitario Puerta de Hierro, Majadahonda /ID# 155734, Majadahonda, Madrid, Spain|Duplicate_Karolinska Univ Sjukhuset /ID# 155735, Solna, Sweden|Inselspital, Universitätsspital Bern /ID# 155716, Bern, Switzerland|Duplicate_Imperial College Healthcare NHS Trust /ID# 155718, London, United Kingdom",56.67137521,51.00423769,All,5 Years to 12 Years   (Child),72,69,68,29,34,5,12/5/2027,6/19/2028,4/10/2028,5/10/2028,4/12/2028,4/28/2028,5/8/2028,4/4/2019,4/12/2019,6/5/2020,5/22/2020,9/30/2020,1/14/2021,2/25/2021,4/15/2021,5/30/2021,7/20/2021,8/30/2021,10/10/2021,10/25/2028,4/23/2029,10/20/2029,4/18/2030,,,,,,,,,,,,,,,,https://ClinicalTrials.gov/show/NCT02939989,,,,,,
AbbVie,AbbVie,ST00059,SP00001,"Real World Evidence of the Effectiveness of Paritaprevir/r - Ombitasvir, ± Dasabuvir, ± Ribavirin in Patients With Chronic Hepatitis C in Colombia",,outCome,Chronic Hepatitis C,,Virology,,,,,,Industry,Completed,,Observational,,Observational Model: Cohort|Time Perspective: Prospective,,,,,,Drug B,,,,,,,,,,,,,,,,,,,Donovan H,John G,Xochitl D,Frank T,Kala R,Liberty A,Corrine U,Mara A,Naren G,Selizabeth F,Dinah R,Suzie K,Anthony P,Aleta H,John G,Naren G,Stephan T,Selizabeth F,Perter K,,,"Fundacion Cardioinfantil, Bogotá, Colombia|Cic Cali, Cali, Colombia|Centro Medico lmbanaco de Cali I, Cali, Colombia|Pharos Centro de Estudios Clin, Cartagena, Colombia|IPS Medicos Internistas Del Ca I, Manizales, Colombia|Fundacion Hospitalaria San Vin, Medellín, Colombia",40.30082932,36.27074639,All,14 Years to 17 Years   (Child),73,72,69,62,3,4,8/19/2028,2/16/2029,12/6/2028,1/16/2029,12/23/2028,12/27/2028,1/6/2029,11/6/2013,11/13/2013,9/6/2017,11/4/2017,6/24/2018,8/30/2018,10/22/2018,12/5/2018,1/8/2019,3/1/2019,4/11/2019,5/27/2019,6/25/2029,12/22/2029,6/20/2030,12/17/2030,,,,,,,,,,,,,,,,https://ClinicalTrials.gov/show/NCT02851069,,,,,,"""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/69/NCT02851069/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/69/NCT02851069/SAP_001.pdf"
AbbVie,AbbVie,ST00060,SP00001,A Study to Assess Resistance and Durability of Response to ABT-493 and/or ABT-530,,,Hepatitis C,,Virology,,,,,,Industry,Completed,Phase 2|Phase 3,Interventional,,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other,,,,,,Drug C,,,,,,,,,,,,,,,,,,,Otis Thode �,Lilla Stilson �,Garnet T,Stephan T,Livia Pacheo �,Beulah N,Perter K,Jerold Goo �,Geralyn K,Tamesha T,Harry A,Suzie K,John G,Christian G,Kala R,Suzie K,Donovan H,Stephan T,Otis Thode �,,,"Digestive Health Specialists of the Southeast /ID# 136725, Dothan, Alabama, United States|Felizarta /ID# 141033, Bakersfield, California, United States|Southern California Res. Ctr. /ID# 141799, Coronado, California, United States|Research & Education, Inc. /ID# 169591, San Diego, California, United States|eStudySite San Diego /ID# 141040, San Diego, California, United States|eStudySite San Diego /ID# 141047, San Diego, California, United States|eStudySite San Diego /ID# 141048, San Diego, California, United States|Midway Immunology and Research /ID# 169477, Fort Pierce, Florida, United States|Delta Research Partners /ID# 141028, Bastrop, Louisiana, United States|Louisiana Research Ctr. LLC /ID# 141024, Shreveport, Louisiana, United States|Henry Ford Health System /ID# 141039, Detroit, Michigan, United States|Binghamton Gastroenterology /ID# 141026, Binghamton, New York, United States|Carolinas Center for Liver Dis /ID# 155390, Statesville, North Carolina, United States|Northwest Gastroenterology Cli /ID# 141036, Portland, Oregon, United States|Gastro One /ID# 169478, Germantown, Tennessee, United States|Quality Medical Research, PLLC /ID# 141042, Nashville, Tennessee, United States|TX Clinical Research Institute /ID# 141037, Arlington, Texas, United States|Inquest Clinical Research /ID# 141045, Baytown, Texas, United States|TX Liver Inst, Americ Res Corp /ID# 136727, San Antonio, Texas, United States|Bon Secours St. Mary's Hospita /ID# 165106, Richmond, Virginia, United States|St. Vincent's Hospital, Darlinghurst /ID# 155395, Darlinghurst, New South Wales, Australia|St. Vincents Hospital /ID# 155394, East Lismore, New South Wales, Australia|Westmead Hospital /ID# 155392, Westmead, New South Wales, Australia|Royal Brisbane and Women's Hospital /ID# 155396, Herston, Queensland, Australia|Royal Adelaide Hospital /ID# 155391, Adelaide, South Australia, Australia|Royal Melbourne Hospital /ID# 155393, Parkville, Victoria, Australia|Cliniques Universitaires Saint Luc /ID# 155397, Woluwe-Saint-Lambert, Bruxelles-Capitale, Belgium|CHU St. Pierre /ID# 155399, Brussels, Belgium|UZ Leuven /ID# 155398, Leuven, Belgium|University of Calgary /ID# 155400, Calgary, Alberta, Canada|Toronto Liver Centre /ID# 155401, Toronto, Ontario, Canada|Universitätsklinikum Frankfurt /ID# 169817, Frankfurt am Main, Hessen, Germany|Mauss, Schmutz, Hegener, Athma /ID# 155402, Dusseldorf, Germany|Gastroenterologisch-Hepatologi /ID# 169820, Kiel, Germany|Auckland City Hospital /ID# 155403, Auckland, New Zealand|Gastro-Hepato & Geriatric Ctr /ID# 141060, Ponce, Puerto Rico|Klinical Investigations Group /ID# 141059, San Juan, Puerto Rico|Innovative Care P.S.C. /ID# 141061, San Juan, Puerto Rico|The Royal London Hospital /ID# 155405, London, London, City Of, United Kingdom|King's College Hospital NHS /ID# 155406, London, United Kingdom|St. Mary's Hospital /ID# 155404, London, United Kingdom|Derriford Hospital /ID# 155407, Plymouth, United Kingdom",70.28529054,63.25676149,All,18 Years to 35 Years   (Adult),76,74,70,45,18,7,7/4/2028,1/29/2029,12/10/2028,1/12/2029,12/8/2028,12/28/2028,1/7/2029,4/1/2016,4/6/2016,1/22/2019,1/14/2019,8/18/2019,10/15/2019,11/20/2019,12/21/2019,2/11/2020,4/8/2020,5/26/2020,6/29/2020,6/26/2029,12/23/2029,6/21/2030,12/18/2030,,,,,,,,,,,,,,,,https://ClinicalTrials.gov/show/NCT02441283,,,,,,"""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/83/NCT02441283/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/83/NCT02441283/SAP_001.pdf"
AbbVie,AbbVie,ST00071,SP00001,"Effectiveness of Paritaprevir/r - Ombitasvir, ± Dasabuvir, ± Ribavirin in Patients With Chronic Hepatitis C - An Observational Study",,,Chronic Hepatitis C,,Virology,,,,,,Industry,Completed,,Observational,,Observational Model: Cohort|Time Perspective: Prospective,,,,,,Drug C,,,,,,,,,,,,,,,,,,,Lilla Stilson �,Naren G,Frank T,Otis Thode �,Dalton E,Mara A,Tamesha T,Anthony P,Mara A,Quentin N,Selizabeth F,Mara A,Frank T,Louann C,Anthony P,Stephan T,Jerold Goo �,Donovan H,Ross S,,,,56.13935023,50.52541521,All,"18 Years to 65 Years   (Adult, Older Adult)",79,76,71,54,10,7,9/23/2028,3/27/2029,1/5/2029,1/31/2029,1/16/2029,1/26/2029,2/5/2029,5/26/2015,6/21/2015,11/15/2016,11/9/2016,1/29/2017,6/12/2017,8/4/2017,9/11/2017,10/11/2017,12/7/2017,1/28/2018,3/26/2018,7/25/2029,1/21/2030,7/20/2030,1/16/2031,,,,,,,,,,,,,,,,https://ClinicalTrials.gov/show/NCT02798315,,,,,,"""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/15/NCT02798315/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/15/NCT02798315/SAP_001.pdf"
AbbVie,AbbVie,ST00072,SP00001,"Real World Evidence of the Effectiveness of Paritaprevir/r - Ombitasvir, ± Dasabuvir, ± Ribavirin in Participants With Chronic Hepatitis C",,,Chronic Hepatitis C,,Virology,,,,,,Industry,Completed,,Observational,,Observational Model: Case-Only|Time Perspective: Prospective,,,,,,Drug D,,,,,,,,,,,,,,,,,,,In Bellini �,Clarice N,Liberty A,Clarice N,Lyman W,Perter K,Naren G,Tammara F,Mac L,Perter K,Naren G,Mee M,Kala R,Selizabeth F,Kala R,Xochitl D,Dinah R,Perter K,Frank T,,,,4.515738863,4.064164977,All,"18 Years and older   (Adult, Older Adult)",78,77,72,27,41,4,10/25/2028,3/27/2029,12/28/2028,2/14/2029,1/14/2029,1/27/2029,2/6/2029,8/9/2013,8/16/2013,8/24/2017,1/19/2017,6/10/2017,10/31/2017,12/17/2017,1/28/2018,3/2/2018,4/18/2018,5/23/2018,7/3/2018,7/26/2029,1/22/2030,7/21/2030,1/17/2031,,,,,,,,,,,,,,,,https://ClinicalTrials.gov/show/NCT02725866,,,,,,"""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/66/NCT02725866/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/66/NCT02725866/SAP_001.pdf"
AbbVie,AbbVie,ST00073,SP00001,"The Effectiveness of ABT-450/r - Ombitasvir, ± Dasabuvir, ± Ribavirin in Patients With Chronic Hepatitis C -An Observational Study in Ireland",,REACH,Chronic Hepatitis C,,Virology,,,,,,Industry,Completed,,Observational,,Observational Model: Case-Only|Time Perspective: Prospective,,,,,,Drug B,,,,,,,,,,,,,,,,,,,Marceline R,Mary H,Federico L,Mara A,Tamesha T,Stephan T,Jene M,Remedios Z,Doreen T,Marcelina X,Corrine U,Terisa Sikora �,Anthony P,Lilla Stilson �,Harry A,Tammara F,Anthony P,Tiffiny K,Tamesha T,,,,8.140671913,7.326604722,All,"18 Years and older   (Adult, Older Adult)",79,76,73,43,24,6,10/14/2028,3/8/2029,1/11/2029,2/11/2029,1/10/2029,1/31/2029,2/10/2029,9/21/2014,9/30/2014,6/21/2017,4/25/2017,9/17/2017,11/29/2017,1/10/2018,2/12/2018,3/18/2018,4/25/2018,6/24/2018,8/15/2018,7/30/2029,1/26/2030,7/25/2030,1/21/2031,,,,,,,,,,,,,,,,https://ClinicalTrials.gov/show/NCT02582671,,,,,,"""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/71/NCT02582671/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/71/NCT02582671/SAP_001.pdf"
AbbVie,AbbVie,ST00074,SP00001,"Real World Evidence of the Effectiveness of Paritaprevir/r - Ombitasvir, ± Dasabuvir, ± Ribavirin and Patient Support Program in Patients With Chronic Hepatitis C",,3DUTCH,Chronic Hepatitis C,,Virology,,,,,,Industry,Completed,,Observational,,Observational Model: Cohort|Time Perspective: Prospective,,,,,,Drug C,,,,,,,,,,,,,,,,,,,Lucie P,Beulah N,Marcelina X,Quentin N,Donovan H,Livia Pacheo �,Terisa Sikora �,Tiffiny K,James y,Livia Pacheo �,John G,John G,Stephan T,Corrine U,Corrine U,Doreen T,Xochitl D,Lilla Stilson �,Jeanene Y,,,"Albert Schweitzer Ziekenhuis /ID# 152597, Dordrecht, Zuid-Holland, Netherlands|Noordwest Ziekenhuisgroep /ID# 152604, Alkmaar, Netherlands|Duplicate_Onze Lieve Vrouwe Gasthuis /ID# 152600, Amsterdam, Netherlands|Universitair Medisch Centrum Groningen /ID# 152596, Groningen, Netherlands|Leids Universitair Medisch Centrum /ID# 154637, Leiden, Netherlands|Radbound University Medical Ce /ID# 152598, Nijmegen, Netherlands|Erasmus Medisch Centrum /ID# 154635, Rotterdam, Netherlands|Maasstad Ziekenhuis /ID# 152592, Rotterdam, Netherlands|Universitair Medisch Centrum Utrecht /ID# 152595, Utrecht, Netherlands",71.17831464,64.06048318,All,"18 Years to 95 Years   (Adult, Older Adult)",79,78,74,58,10,6,10/3/2028,3/30/2029,1/13/2029,2/14/2029,1/26/2029,2/1/2029,2/11/2029,2/12/2015,3/14/2015,5/13/2017,5/17/2017,11/22/2017,3/7/2018,5/3/2018,6/3/2018,7/5/2018,8/13/2018,9/22/2018,11/11/2018,7/31/2029,1/27/2030,7/26/2030,1/22/2031,,,,,,,,,,,,,,,,https://ClinicalTrials.gov/show/NCT02817594,,,,,,"""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/94/NCT02817594/SAP_000.pdf|""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/94/NCT02817594/Prot_001.pdf"
